1	685.3	464.7	1538.0	1	616.1	469.5	837.0	1
2	688.1	463.0	1544.0	1	618.2	472.4	836.0	1
3	690.6	459.6	1526.0	1	612.9	468.8	838.0	1
4	689.2	459.3	1530.0	1	613.9	464.8	836.0	1
5	690.1	462.6	1534.0	1	621.0	471.9	845.0	1
6	691.1	463.7	1538.0	1	623.8	468.1	848.0	1
7	693.0	465.9	1544.0	1	624.2	469.1	850.0	1
8	695.4	460.0	1543.0	1	622.6	467.5	856.0	1
9	698.4	455.7	1543.0	1	619.8	458.9	857.0	1
10	696.8	452.5	1542.0	1	628.5	466.4	853.0	1
11	696.4	455.3	1546.0	1	623.0	458.8	867.0	1
12	705.1	455.0	1541.0	1	627.3	469.2	866.0	1
13	704.3	451.9	1541.0	1	628.9	463.1	868.0	1
14	702.8	453.1	1539.0	1	626.3	462.3	867.0	1
15	714.8	428.4	1525.0	1	638.8	452.6	861.0	1
16	715.0	439.2	1528.0	1	626.8	453.8	865.0	1
17	714.6	431.4	1517.0	1	626.4	455.7	862.0	1
18	716.7	432.0	1512.0	1	626.5	459.7	855.0	1
19	715.4	443.9	1512.0	1	623.5	458.0	858.0	1
20	712.7	434.8	1512.0	1	618.0	454.7	857.0	1
21	715.7	429.4	1503.0	1	616.5	456.9	860.0	1
22	720.5	447.8	1507.0	2	621.5	464.1	864.0	1
23	716.8	431.6	1501.0	1	619.4	445.2	859.0	1
24	720.6	443.8	1506.0	1	620.9	433.9	856.0	1
25	719.3	429.2	1505.0	1	625.0	431.5	857.0	1
26	719.5	407.9	1506.0	2	628.4	430.0	865.0	1
27	720.0	419.0	1510.0	2	628.7	431.0	871.0	1
28	717.9	422.3	1515.0	1	634.1	416.6	864.0	1
29	723.2	438.8	1528.0	1	635.6	357.6	851.0	1
30	725.1	461.4	1520.0	2	638.3	389.9	856.0	1
31	714.4	440.5	1527.0	1	640.6	387.4	861.0	1
32	713.0	453.8	1546.0	1	634.9	363.7	859.0	1
33	717.3	460.4	1556.0	1	639.8	374.6	855.0	1
34	705.5	454.9	1560.0	1	637.9	354.4	851.0	1
35	704.7	459.1	1572.0	1	642.8	341.9	846.0	1
36	701.8	451.1	1577.0	1	641.8	367.6	849.0	1
37	703.3	458.8	1586.0	1	643.6	371.4	853.0	1
38	701.3	465.7	1587.0	1	641.8	380.4	857.0	1
39	702.8	466.3	1593.0	1	642.9	369.6	849.0	1
40	698.0	449.2	1591.0	1	646.7	401.2	869.0	1
41	703.9	468.5	1591.0	1	645.0	375.9	860.0	1
42	699.5	455.5	1586.0	1	649.2	390.5	861.0	1
43	711.2	464.2	1590.0	1	647.7	377.0	862.0	1
